using	Tab for comment
0x1	Ally of justice
0x2	Genex
0x1002	R-genex
0x2002	Genex ally
0x3	Allure queen
0x4	Amazoness
0x5	Arcana force
0x6	Dark world
0x7	Ancient gear
0x8	Hero
0x3008	Elemental hero
0x6008	Evil hero
0xc008	Destiny hero
0x5008	Vision hero
0xa008	Masked hero
0x9	Neos
0xa	Lswarm
0x100a	Steelswarm
0xb	Infernity
0xc	Alien
0xd	Saber
0x100d	X-saber
0x300d	Xx-saber
0x400d	Elementsaber
0xe	Watt
0xf	Ojama
0x10	Gusto
0x11	Karakuri
0x12	Frog
0x13	Meklord
0x3013	Meklord emperor
0x5013	Meklord astro
0x6013	Meklord army
0x15	B.e.s.
0x16	Roid
0x1016	Vehicroid
0x2016	Speedroid
0x17	Synchro
0x1017	Synchron
0x2017	Synchro dragon
0x18	Cloudian
0x19	Gladiator
0x1019	Gladiator beast
0x1a	Dark scorpion
0x1b	Phantom beast
0x101b	Mecha phantom beast
0x1d	Koa'ki meiru
0x1e	Chrysalis
0x1f	Neo-spacian
0x20	Shien
0x21	Earthbound
0x1021	Earthbound immortal
0x22	Jurrac
0x23	Malefic
0x24	Scrap
0x25	Iron chain
0x26	Morphtronic
0x27	T.g.
0x28	Batteryman
0x29	Dragunity
0x2a	Naturia
0x2b	Ninja
0x102b	Armor ninja
0x2c	Flamvell
0x2e	Gravekeeper
0x2f	Ice barrier
0x30	Vylon
0x31	Fortune lady
0x32	Volcanic
0x33	Blackwing
0x1033	Assault blackwing
0x34	Crystal
0x1034	Crystal beast
0x2034	Ultimate crystal
0x5034	Advanced crystal beast
0x35	Fabled
0x1035	The fabled
0x36	Machina
0x37	Mist valley
0x38	Lightsworn
0x39	Laval
0x3a	Gishki
0x3b	Red-eyes
0x3c	Reptilianne
0x3d	Six
0x103d	Six samurai
0x203d	Six strike
0x503d	Legendary six samurai
0x903d	Secret six samurai
0x3e	Worm
0x3f	Majestic
0x40	Forbidden one
0x41	Lv
0x42	Nordic
0x3042	Nordic ascendant
0x6042	Nordic beast
0xa042	Nordic alfar
0x5042	Nordic relic
0x43	Junk
0x44	The agent
0x45	Archfiend
0x1045	Red dragon archfiend
0x46	Polymerization/fusion
0x1046	Fusion dragon
0x47	Gem-
0x1047	Gem-knight
0x48	Number
0x1048	Number c
0x5048	Number c39
0x49	Skyblaster
0x4a	Timelord
0x4b	Aesir
0x4c	Trap hole
0x4e	Evol
0x304e	Evoltile
0x504e	Evolzar
0x604e	Evolsaur
0x4f	Buster
0x104f	/assault mode
0x50	Venom
0x1050	Starving venom
0x51	Gadget
0x52	Guardian
0x1052	Gate guardian
0x2052	Skull guardian
0x53	Constellar
0x54	Gagaga
0x55	Photon
0x56	Inzektor
0x57	Resonator
0x58	Wind-up
0x59	Gogogo
0x5a	Penguin
0x5b	Inmato
0x5c	Sphinx
0x60	Bamboo sword
0x61	Ninjitsu art
0x62	Toon
0x63	Reactor
0x64	Harpie
0x65	Infestation
0x66	Warrior
0x1066	Symphonic warrior
0x2066	Magnet warrior
0x67	Iron
0x68	Tin
0x69	Hieratic
0x6a	Butterspy
0x6b	Bounzer
0x6c	Lightray
0x6d	Djinn
0x306d	Divine dragon
0x606d	Djinn of rituals
0x6e	Prophecy
0x106e	Spellbook
0x6f	Heroic
0x106f	Heroic challenger
0x70	Chronomaly
0x71	Madolche
0x72	Geargia
0x1072	Geargiano
0x73	Xyz
0x1073	Cxyz
0x2073	Xyz dragon
0x4073	Armored xyz
0x74	Mermail
0x75	Abyss-
0x76	Heraldic beast
0x77	Atlantean
0x78	Nimble
0x79	Fire fist
0x7a	Noble
0x107a	Noble knight
0x207a	Noble arms
0x507a	Infernoble knight
0x607a	Infernoble arms
0x7b	Galaxy
0x107b	Galaxy-eyes
0x307b	Galaxy-eyes tachyon
0x7c	Fire formation
0x7d	Hazy
0x107d	Hazy flame
0x7e	Zexal
0x107e	Zw -
0x207e	Zs -
0x7f	Utopi
0x107f	Utopia
0x207f	Utopic future
0x80	Duston
0x81	Fire king
0x1081	Fire king avatar
0x82	Dododo
0x83	Puppet
0x1083	Gimmick puppet
0x84	Battlin' box
0x1084	Battlin' boxer
0x2084	Battlin' boxing
0x85	Super defense robot
0x86	Star seraph
0x87	Umbral horror
0x88	Bujin
0x89	Hole
0x8a	Fascinating
0x108a	Traptrix
0x8b	Malicevorous
0x8d	Ghostrick
0x8e	Vampire
0x8f	Zubaba
0x90	Sylvan
0x91	Necrovalley
0x92	Heraldry
0x93	Cyber
0x1093	Cyber dragon
0x2093	Cyber angel
0x4093	Cyberdark
0x94	Cybernetic
0x95	Rank-up-magic
0x96	Fishborg
0x97	Artifact
0x98	Magician
0x99	Odd-eyes
0x9a	Superheavy samurai
0x109a	Superheavy samurai soul
0x9b	Melodious
0x109b	Melodious maestra
0x9c	Tellarknight
0x109c	Stellarknight
0x9d	Shaddoll
0x9e	Yang zing
0x9f	Performapal
0xa0	Legendary knight
0xa1	Legendary dragon
0x10a2	Dark magician
0x20a2	Magician girl
0x30a2	Dark magician girl
0xa3	Stardust
0xa4	Kuriboh
0x10a4	Winged kuriboh
0xa5	Change
0xa6	Sprout
0xa7	Artorigus
0xa8	Laundsallyn
0xa9	Fluffal
0xaa	Qli
0x10aa	Apoqli
0xab	Deskbot
0xac	Goblin
0x10ac	Goblin biker
0xad	Frightfur
0xae	Dark contract
0xaf	D/d
0x10af	D/d/d
0xb0	Gottoms
0xb1	Burning abyss
0xb2	U.a.
0xb3	Yosenju
0xb4	Nekroz
0xb5	Ritual beast
0x10b5	Ritual beast tamer
0x20b5	Spiritual beast
0x40b5	Ritual beast ulti
0xb6	Outer entity
0xb7	Elder entity
0xb8	Old entity
0xb9	Blaze accelerator
0xba	Raidraptor
0xbb	Infernoid
0xbc	Jinzo
0xbd	Gaia the fierce knight
0xbe	Monarch
0xbf	Charmer
0xc0	Possessed
